month,avg_rescue_time
2022-05,79.0
2022-06,28.0
2022-07,157.5
2022-08,644.0
2022-09,24.0
2022-10,252.333333333333
2022-11,151.5
2022-12,684.0
2023-01,145.875
2023-02,714.375
2023-03,4413.75
2023-04,22740.0
2023-05,1345.71428571429
2023-06,93.0
2023-07,54389.1
2023-08,155.0
2023-09,33.0
2023-10,9930.0
